研究発表,,,,
1,無効指摘にだって何らかの価値があるはずだ！ 〜ソフトウェアデザインレビューにおける指摘価値の検証〜,脇本 美知代（立命館大学大学院）,※１,※２
4,NoCベース組込みメニーコアでのデータ通信と並列化,丸山 雄也（大阪大学）、加藤 真平（東京大学）、安積 卓也（大阪大学）,,
7,MATLAB/SimulinkとAutowareの連携,徳永 翔太、安積 卓也（大阪大学）,※１,※２
8,ドメイン駆動設計によるseL4の設計/実装改善検討 (副題：アクセス管理機能のリファクタリング（環境構築、C実装の課題検討）),田中 伸明（株式会社ヴィッツ）,※１,※２
9,メモリ制約の組込みデバイスに向けたk-meansクラスタリングに基づく異常検知,北川 勇斗、安積 卓也（大阪大学）、石郷岡 祐（日立製作所）,※１,※２
11,Deep Learning導入のための読書会,小川 清、松原 和音、斉藤 直希（名古屋市工業研究所）,※１,※２
12,ドキュメントレビューにおける指摘表現均質化の試み,藤田 悠（長野工業高等専門学校）、小林 直子（エプソンアヴァシス株式会社）,※１,※２
13,AUTOSARにおけるComplex Device Driversのマイコン依存記述生成手法,廣瀬 秀樹、高瀬 英希、高木 一義、高木 直史（京都大学）,※１,
14,着手時のリスク発見と対策の一手法,石山 康介（株式会社アトリエ）、松岡 裕介（株式会社ヴィッツ）,※１,
15,Kalray MPPA-256を対象としたSHIMの策定及び，最適コア配置,堀 峻輔、小島 流石、安積 卓也（大阪大学）,,
18,ROSにおける優先順位と同期のサホート,佐藤 太（立命館大学）斎藤 之寛（立命館大学大学院）、安積 卓也（大阪大学）、加藤 真平（東京大学）、西尾 信彦（立命館大学）,,
19,TINET+TECS:組込み向けTCP/IPプロトコルスタックのコンポーネント化,山本 拓朗（大阪大学）、原 拓、石川 拓也（名古屋大学）、大山 博司（オークマ株式会社）、高田 広章（名古屋大学）、安積卓也（大阪大学）,,
23,骨伝導マイクを用いた身体音ポインティング方式の検討,村上 明日香、山&#64017; 万絵子（日本大学）,,
24,駐輪ナビゲーションシステム,小口 真澄（日本大学）,,
25,異なるデッドラインが混在するリアルタイムDAGスケジューリング,鈴木 祐平（立命館大学大学院）、安積 卓也（大阪大学）、加藤 真平（東京大学）、西尾 信彦（立命館大学）,,
27,MCDC test generation in Boolean expression testing,Quentin MAISONNEUVE、北村 崇師、崔 銀恵（産業技術総合研究所）,※１,※２
28,RTOSを用いたシステムの高位合成によるフルハードウェア化,大迫 裕樹、石浦 菜岐佐（関西学院大学）、神原弘之（京都高度技術研究所）、冨山 宏之（立命館大学）,※１,※２
36,組込みシステムに対する深層学習フレームワーク適用のための調査,山本 椋太、岡本 卓也、婁 宜之、本田 晋也（名古屋大学）,※１,※２
プロジェクト紹介,,,,
5,黄線とコース外情報を用いたゲーム内車両の自動運転制御,安村 美紀（株式会社ヴィッツ）、石川真平、上原尚（株式会社ヴィッツ沖縄）,※１,※２
16,AUTOSAR開発向けツールと教育の取組み,安井 大介、竹村 欣也（アイコムシステック株式会社）,※１,
20,画像処理による自動運転アプリケーション開発  ‐MATLAB／Simulinkを使った自動運転研修‐,安里 眞（株式会社ヴィッツ沖縄）、上田 晃正、加藤 達也（株式会社ヴィッツ）,※１,※２
21,新人研修における自動運転制御開発,森下 侑之介、前野 光紀、土屋 光晴（株式会社ヴィッツ）,※１,※２
26,AUTOSARツールチェインに関する共同研究,庭野 正義、高田 光隆（名古屋大学）,※１,※２
37,システム開発文書品質研究会(ASDoQ),山本 雅基（ASDoQ）,,※２
自由工作発表,,,,
6,Arduinoを用いたMIDI 音源 — Digital Synth VRA8-Px,石垣 良（技術系会社員）,,
10,サイバー空間とリアル世界を繋ぐIoT&HMD,相沢 一摩、大森 裕介（エプソンアヴァシス株式会社）,,
17,組込みマイコンでROSが動く！〜ロボット向け軽量実行環境〜,森 智也、高瀬 英希、高木 一義、高木 直史（京都大学）,※１,
22,FlashAirを使ったロンドン天気予報システム,酒井 健一,※１,
29,NUCLEOやGR-PEACHで作るSessalet,山根 ゆりえ（株式会社達人出版会）,※１,
協賛企業デモ展示,,,,
2,"wolfSSL, Inc.：組込み向けSSL/TSLライブラリ (TLS1.3対応)",古城 隆,,※２
3,株式会社ヴィッツ,嶋内 宏明,※１,※２
31,APTJ株式会社（ショートプレゼンのみ）,間瀬 順一,※１,
32,株式会社システム計画研究所,上島 仁、満田 賢一郎,※１,※２
33,東海ソフト株式会社（ショートプレゼンのみ）,伊藤 久司,※１,
34,エプソンアヴァシス株式会社：改善が止まらない！,富澤賢,,
35,京都マイクロコンピュータ株式会社：統合開発環境SOLID紹介,由良 守,※１,
38,菱電商事株式会社：仮想プロトタイピングソリューション,齋藤 一智,,
